kingdom,phylum,class,order,family,genus,species,scientificName,decimalLatitude,decimalLongitude,eventDate,month,year
Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Anchusa,Anchusa azurea,Anchusa azurea Mill.,35.28434,-0.804458,2025-03-27,March,2025
Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco naumanni,"Falco naumanni J.G.Fleischer, 1818",36.324994,4.928728,2025-03-22,March,2025
Animalia,Arthropoda,Insecta,Coleoptera,Buprestidae,Trachys,Trachys troglodytiformis,"Trachys troglodytiformis Obenberger, 1918",36.338981,4.466748,2025-04-18,April,2025
Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco tinnunculus,"Falco tinnunculus Linnaeus, 1758",36.269165,4.846564,2025-04-19,April,2025
Animalia,Arthropoda,Insecta,Coleoptera,Buprestidae,Anthaxia,Anthaxia umbellatarum,"Anthaxia umbellatarum (Fabricius, 1787)",35.577312,-1.1739,2025-05-23,May,2025
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Linaria,Linaria reflexa,Linaria reflexa subsp. agglutinans (Pomel) D.A.Sutton,34.51988,2.962318,2025-06-04,June,2025
Animalia,Arthropoda,Insecta,Coleoptera,Buprestidae,Acmaeodera,Acmaeodera crinita,"Acmaeodera crinita Gory, 1840",36.618884,4.461906,2025-07-02,July,2025
Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Matthiola,Matthiola fruticulosa,Matthiola fruticulosa (L.) Maire,36.415775,4.772009,2025-03-27,March,2025
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Gyps,Gyps fulvus,"Gyps fulvus (Hablizl, 1783)",36.319315,4.836773,2025-03-22,March,2025
Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Scilla,Scilla peruviana,Scilla peruviana subsp. elongata (Parl.) Maire,35.267277,-0.779359,2025-03-17,March,2025
Animalia,Chordata,Aves,Passeriformes,Phylloscopidae,Phylloscopus,Phylloscopus sibillatrix,"Phylloscopus sibillatrix (Bechstein, 1792)",35.305812,-0.093992,2025-05-03,May,2025
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera,"Apis mellifera Linnaeus, 1758",36.699918,4.047187,2025-01-09,January,2025
Animalia,Chordata,Aves,Passeriformes,Alaudidae,Galerida,Galerida theklae,"Galerida theklae A.E.Brehm, 1857",36.064207,4.624841,2025-03-19,March,2025
Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco tinnunculus,"Falco tinnunculus Linnaeus, 1758",36.72102,2.997641,2025-09-26,September,2025
Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia helioscopia,Euphorbia helioscopia L.,35.807049,7.389099,2025-03-20,March,2025
